#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2247487039300149e-11 7.387780849075294e8 1.0400221015647152e8
200 2639.748223053413 13.177440197508659 5.41194576048003e-5 3.671532060502211e-8 6.364286398931525e-8 0.000512456982050935 9.173429151854151e-7 9.069619779644711e-7 1.406127825923904e-11 7.387780849075137e8 1.0400221015647194e8
400 5272.278348491773 13.15142207236876 5.1918202438107456e-5 5.01866927237312e-8 6.39566584621875e-8 0.0004448508038876753 1.030797483370094e-6 9.726918273056384e-7 1.1266782041571933e-11 7.387780849075224e8 1.0400221015647337e8
600 7901.439608638884 13.140211516189854 5.381705140209249e-5 6.159214874436674e-8 7.0536062907834e-8 0.0005317979557730723 1.4243814016601242e-6 1.3228719324964722e-6 1.7693770316855887e-11 7.387780849075338e8 1.0400221015647952e8
800 10529.25652346465 13.141438104334135 5.380902339771502e-5 7.132416109670424e-8 7.631716286586822e-8 0.0005327850649337051 1.887279362067229e-6 1.7404560405942515e-6 1.3661613933392599e-11 7.387780849075284e8 1.0400221015648356e8
1000 13157.171712342219 13.138815838624271 5.4416944065983024e-5 8.021713681494048e-8 8.066355072216779e-8 0.0006575640054506948 2.4938974494403965e-6 2.551453272554849e-6 1.1117049708642064e-11 7.387780849075229e8 1.0400221015648872e8
1200 15785.933353759887 13.14878311077696 5.5151616874759506e-5 8.994435090023097e-8 8.469138114578573e-8 0.0007338644604715228 2.9894970691168865e-6 3.4068103887396894e-6 1.5171164881525136e-11 7.38778084907532e8 1.0400221015649207e8
1400 18417.556947994683 13.17079958464428 5.68825769083298e-5 9.83764794454591e-8 8.800057547777354e-8 0.0006135345565780881 3.3009442436116032e-6 4.168954654659718e-6 1.6012833601815056e-11 7.387780849075214e8 1.0400221015649278e8
1600 21055.637528246145 13.213080756555534 5.824579125634316e-5 1.0650897185724207e-7 9.13546415472845e-8 0.0007511810372307082 3.2868536375962876e-6 4.547103671204145e-6 1.6020551723833004e-11 7.387780849075279e8 1.0400221015649356e8
1800 23696.756911200835 13.18443586613747 5.9055144726831894e-5 1.1292271300201699e-7 9.626510598860298e-8 0.0008935534497140907 3.465548272463259e-6 4.903182696525121e-6 1.5070070214210295e-11 7.387780849075239e8 1.0400221015649141e8
2000 26330.310527598198 13.154652257158162 6.309051492959967e-5 1.1795128180526918e-7 1.001808563888072e-7 0.0007209556970337871 3.8453718827768935e-6 5.088189643731589e-6 1.6958593588821673e-11 7.387780849075307e8 1.0400221015648754e8
2200 28959.90491948371 13.142257765841428 6.538928861812257e-5 1.2100808934915606e-7 1.0400915070411791e-7 0.0007139818944779108 4.230478306124774e-6 5.778423211089123e-6 1.3540412711075028e-11 7.387780849075322e8 1.0400221015648355e8
2400 31587.74542703306 13.139643528291382 6.995632797540965e-5 1.2377596423501322e-7 1.077434680781905e-7 0.000722177039278904 4.565180737034491e-6 6.672669301988066e-6 1.593898257467792e-11 7.387780849075314e8 1.0400221015648012e8
2600 34215.735604923015 13.138216259227674 7.357341431611115e-5 1.2718645802833492e-7 1.108624761236011e-7 0.0006436145304178353 4.839230565156782e-6 8.271695742467777e-6 1.8455033158210527e-11 7.38778084907523e8 1.0400221015647714e8
2800 36844.15192029075 13.147010004663853 7.796975856134914e-5 1.3209908664162774e-7 1.1368641429258646e-7 0.0006432927602872951 4.658041498850629e-6 9.272662611914395e-6 1.3424480066654863e-11 7.387780849075323e8 1.0400221015647577e8
